SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5937028,"    Armstrong, C",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,156,"7,480",0,0,0,0,0,0,0,0,0,0,0,60,5,0,0,0,0,0,0,0,0,0,0,180,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,235,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5937010,"    Coldstream, DM",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,148,200,0,0,0,0,0,0,0,"2,121",0,0,"1,393",0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,60,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,95,0,"2,140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,004",0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,155",0,0,0,0,0,"1,949",0,0,0,0,0
5937033,"    Enderby, C",0,0,0,0,0,0,0,0,6,0,20,0,0,0,0,0,0,0,168,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,254,0,0,0,0,0,0,"8,494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,70,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
5937005,"    Lumby, VL",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"4,700",0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5937000,"    North Okanagan, RDR",0,0,0,0,"1,250",0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,27,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,"2,600","1,630",0,0,260,0,200,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,65,0,1,160,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,"1,500",0,250,0,0,0,0,0,0,0,0,"7,400",0,0,0,0,0,150,0,0,0,0,0,0,0,133,0,625,0,0,0,0,350,0,0,0,150,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
5937024,"    Spallumcheen, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5937014,"    Vernon, C",25,0,"1,449",0,300,8,0,50,"3,382",220,0,0,0,0,"1,375","1,400",418,0,0,0,33,0,490,0,1,"1,550",20,0,0,"1,800",24,1,0,200,0,"5,900","4,875",97,0,0,8,22,870,10,352,0,0,0,0,0,"7,521",0,0,0,0,0,0,0,"1,500",35,0,0,76,611,0,0,0,250,200,0,145,100,5,"1,014",600,"6,833",0,0,"1,506","80,524",0,0,270,45,0,0,0,0,0,0,0,0,0,86,0,708,5,"1,850",0,0,"35,242",0,0,0,358,300,101,120,0,0,96,20,"2,595",50,512,758,570,0,100,55,0,0,100,0,0,45,154,165,0,60,0,70,0,0,0,0,"2,520",65,"15,900",0,8,0,0,0,0,0,0,575,25,0,52,300,0,208,0,0,90,"2,000",0,0,"18,000","1,300",0,0,4,500,0,0,0,120,400,0,60,75,0,0,0,0,0,0,0,0,10,0,88,328,"2,640",75,"2,513","1,600",44,675,0,0,40,0,0,0,15,0,0,98,0,56,560,75,0,0,0,0,275,0,9,0,30,0,0,0,3,"1,350",0,133,100,0,0,655,"6,200",0,70,0,"15,000",0,0,"6,625",600,"1,636",98,"3,000",0,0,17,40,0,15,430,"1,510",0,497,0,183,0,0,0,0,0,754,"2,500",0,0,0,50,375,350,0,15
5907,  Okanagan-Similkameen RD,794,0,"9,981",164,280,372,664,14,105,0,487,0,0,0,0,0,4,0,1,787,225,0,"14,017",215,201,597,135,0,0,0,280,"3,014",30,0,0,60,6,700,174,22,"1,556","2,373","9,600",385,"8,647","1,900",141,0,"1,500",0,"2,164",675,"12,100",70,355,4,"10,000","1,005",0,"2,555","2,300","9,875",200,75,0,"2,305",566,395,0,"1,591",171,0,360,94,3,0,"1,827",0,"1,000",312,980,57,"1,345",0,11,850,3,"18,525",522,275,626,72,15,96,249,787,23,58,"2,219",300,200,"3,793",0,7,25,500,0,0,"3,534",40,10,74,90,56,375,"14,019",87,0,120,145,0,0,13,"4,211",16,0,30,0,"18,000",3,0,56,11,326,173,44,205,912,450,286,353,0,699,30,0,50,0,300,85,50,170,692,15,55,"5,970",30,129,200,65,40,5,287,244,"56,544",25,"17,684",8,100,640,44,911,"1,400",0,"75,839",500,120,0,"1,511",325,6,130,0,0,0,300,0,477,336,218,775,162,304,2,38,741,20,70,0,0,"8,483","18,075",44,5,120,70,6,"1,200",0,82,322,"1,161",100,2,4,7,25,18,79,0,0,75,390,50,177,23,193,"2,970",75,102,4,0,10,35,0,20,"1,060",197,2,"3,000",13,50,110,"1,200",0,81,"2,224",720,12,0,389,20,52,102,"7,930","15,643",40,"5,006","1,750","3,846",10,10,861,"4,125","8,523",250
5907009,"    Keremeos, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,300",273,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,400,0,0,0
5907000,"    Okanagan-Similkameen, RDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,34,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,75,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,72,0,79,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,90,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,5,0,0,15,0,0,0,0,0,0,0,50,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,"1,200",0,0,266,14,0,0,0,0,0,0,29,0,0,0,350,0,0,0,0,0,10,0,0,0,0,0,0,0,"1,000",0,0,"3,000",0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,"2,600",0,0,0,0,13,0
5907014,"    Oliver, T",1,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,200,0,0,0,0,135,0,0,4,0,0,0,0,0,0,"14,000",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,209,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,193,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5907005,"    Osoyoos, T",0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,650",0,0,0,0,0,0,0,0,0,0,"12,100",0,0,0,0,0,0,0,0,"9,350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,77,0,68,0,0,0,0,0,0,0,45,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5907041,"    Penticton, C",793,0,"9,981",164,0,222,664,0,105,0,487,0,0,0,0,0,0,0,0,787,225,0,17,163,183,362,135,0,0,0,280,"3,014",0,0,0,60,6,0,13,22,"1,556",0,"9,600",380,"8,647",0,66,0,"1,500",0,"2,130",675,0,35,209,4,0,"1,000",0,"2,555",0,252,200,0,0,"2,305",151,20,0,"1,564",55,0,0,0,0,0,"1,827",0,"1,000",252,30,0,"1,340",0,11,790,3,"18,525",0,275,607,0,15,17,23,787,10,58,"2,203",0,0,293,0,0,25,350,0,0,"3,500",25,5,74,0,11,365,16,0,0,0,25,0,0,10,"4,211",15,0,0,0,"18,000",0,0,0,0,154,168,12,70,897,450,280,10,0,12,0,0,0,0,270,85,50,170,186,0,30,0,30,129,0,0,40,0,287,30,"56,444",0,"17,588",0,100,640,42,911,0,0,"75,189",0,50,0,"1,500",325,6,130,0,0,0,300,0,400,336,150,775,150,20,2,38,50,20,25,0,0,"4,800","18,075",44,5,120,25,6,0,0,0,56,"1,147",100,2,4,7,25,0,5,0,0,10,40,50,77,23,0,"2,950",65,102,4,0,10,35,0,20,0,167,2,0,13,50,110,"1,200",0,6,"2,043",720,0,0,0,20,52,102,"7,920","15,643",40,84,35,0,10,0,461,"4,125","4,010",0
5907024,"    Princeton, T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,60,0,5,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,"3,675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,75,0,0,12,0,0,0,0,0,0,0,0,"4,922","1,705","1,246",0,0,0,0,"4,500",0
5907035,"    Summerland, DM",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"14,000",0,18,92,0,0,0,0,0,0,30,0,0,0,0,700,155,0,0,723,0,5,0,"1,900",0,0,0,0,0,0,0,5,1,0,"10,000",5,0,0,0,0,0,0,0,0,0,375,0,0,0,0,360,0,0,0,0,0,0,60,950,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,13,0,0,300,0,"3,500",0,0,0,15,0,0,30,15,0,0,0,45,0,3,0,0,0,120,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,32,0,0,0,6,343,0,687,0,0,0,0,25,0,0,0,506,15,25,0,0,0,0,5,0,0,0,0,100,25,0,0,0,0,0,0,"1,400",0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,250
5933,  Thompson-Nicola RD,575,710,185,18,"1,800",5,"7,665","7,413","16,366",425,41,0,190,0,461,452,"1,965","3,947","13,712",30,377,414,571,10,0,18,219,47,"1,401",0,"22,804","5,339",0,20,"2,430",62,0,"1,903",5,0,"25,444","2,575",0,54,40,0,0,320,615,0,0,0,10,"9,875","6,561","2,575",445,"4,915",170,350,30,70,640,0,"1,947",222,598,142,"1,400",30,295,0,31,"2,010",0,175,15,"1,827",15,950,548,"25,005","1,259",0,0,594,0,10,713,"4,894",38,192,132,600,156,0,"3,545",308,"3,337",392,"2,695",310,289,925,789,575,884,0,0,150,"3,564","10,120","1,540","12,263","1,337",436,519,745,300,0,"8,745",100,8,0,84,181,0,"4,530","1,325","5,800",0,400,0,218,511,595,412,95,"42,907",450,"1,950","3,000",208,0,17,358,"1,504",18,0,127,0,0,80,5,196,"1,380",65,0,"1,365","3,000",166,829,0,720,"1,860",97,231,132,450,0,0,5,16,621,"4,000","7,345","4,089","17,993","3,150",217,"7,108",237,510,"2,150",184,980,"3,110",734,843,625,"27,985",77,225,105,"7,939",100,"1,194","34,380",640,394,30,"11,918",534,50,"1,450","4,582",17,"12,002",0,"45,773","21,049","6,842","101,535",80,"1,401",0,225,300,"3,393",160,0,100,"3,365","1,410",330,0,"1,267","22,080",0,"4,083",686,"45,943","5,500","1,290","7,550",5,"2,355",20,385,736,"4,250",759,0,"2,043",5,190,716,345,120,10,182,35,181,20,800,500,0,0,"5,734","5,420",0,"1,547",709,2,0
5933019**,"    Ashcroft, VL",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,18,50,0,0,0,0,0,0,0,0,62,0,0,0,0,0,"2,575",0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5933074,"    Barriere, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933054**,"    Chase, VL",1,0,0,0,0,0,0,0,0,0,0,0,190,0,20,0,799,74,"13,494",0,145,8,511,10,0,0,35,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5933042,"    Kamloops, C",549,705,185,18,"1,800",5,"7,651","7,413","16,366",30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,44,"1,143",0,"22,800","5,321",0,0,"1,930",0,0,"1,903",5,0,"24,944",0,0,54,30,0,0,320,590,0,0,0,0,"9,875","1,926",0,445,"3,400",0,350,10,0,640,0,"1,700",222,0,142,0,20,295,0,0,"1,970",0,0,0,"1,827",15,917,198,"22,700","1,251",0,0,594,0,5,683,"4,844",38,13,129,600,20,0,"3,538",158,"2,437",392,"2,695",310,189,221,612,535,884,0,0,150,"3,564","10,014","1,480","12,200",197,0,505,745,300,0,"8,645",100,8,0,84,175,0,"4,400","1,325",800,0,0,0,218,255,595,100,20,"42,907",0,10,"3,000",180,0,0,0,0,0,0,0,0,0,80,5,116,"1,315",0,0,269,0,0,482,0,130,0,67,20,132,450,0,0,5,0,611,"4,000","1,110",2,"17,922","1,500",217,"6,808",150,350,"2,138",0,950,"1,450",560,613,150,"27,985",77,225,105,"7,872",0,"1,186","34,149",640,387,30,"11,268",528,0,250,0,2,"12,002",0,"45,773","21,040","6,842","94,469",20,"1,401",0,225,300,"3,371",160,0,100,"1,665","1,410",330,0,0,"22,050",0,"4,083",686,"45,943","5,500","1,290","7,550",5,"1,095",0,375,536,"2,500",675,0,"2,043",5,190,681,345,0,0,150,35,31,20,0,0,0,0,"5,734","5,420",0,350,234,2,0
